event_index,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,symbol,trade_px,trade_qty,mid_at_trade,spread_at_trade,time_since_last_A_news,latest_known_eps_for_A
1833,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.236976+00:00,1775347505236976000,164931877100958,100,,,A,589,37,590.5,-5.0,8.716574292,
1839,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.241200+00:00,1775347505241200000,164931881324416,100,,,A,589,15,590.5,-3.0,8.72079775,
1840,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.241283+00:00,1775347505241283000,164931881407875,100,,,A,590,67,590.5,-3.0,8.720881209,
1847,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.421182+00:00,1775347505421182000,164932061306291,100,,,A,591,37,602.5,-23.0,8.900779625,
1852,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.427554+00:00,1775347505427554000,164932067678750,100,,,A,591,45,602.0,-22.0,8.907152084,
1853,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.427724+00:00,1775347505427724000,164932067849208,100,,,A,603,7,602.0,-22.0,8.907322542,
1859,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.433571+00:00,1775347505433571000,164932073696000,100,,,A,603,30,607.5,-9.0,8.913169334,
1860,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.433703+00:00,1775347505433703000,164932073828000,100,,,A,604,37,607.5,-9.0,8.913301334,
1866,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.438643+00:00,1775347505438643000,164932078768500,100,,,A,604,15,607.5,-7.0,8.918241834,
1867,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:05.438744+00:00,1775347505438744000,164932078869625,100,,,A,605,67,607.5,-7.0,8.918342959,
